instr,bid,ask
RB 202208,2.1584,2.1612
RB 202111,2.1648,2.1652
RB 202204,2.2223,2.2232
RB 202203,2.1128,2.1135
RB 202212,1.9276,1.9298
RB 202110-RB 202202,0.1079,0.1088
RB 202202-RB 202205,-0.116,-0.115
RB 202111-RB 202306,0.0948,0.1342
RB 202204-RB 202205,0.0001,0.0007
RB 202112,2.1276,2.128
RB 202111-RB 202206,-0.0434,-0.0423
RB 202110,2.2148,2.2155
RB 202112-RB 202306,0.0576,0.097
RB 202112-RB 202312,,0.368
RB 202111-RB 202207,-0.0227,-0.0211
RB 202202-RB 202206,-0.1017,-0.1006
RB 202111-RB 202312,,0.4052
RB 202111-RB 202212,0.234,0.2392
RB 202201,2.1105,2.111
RB 202202,2.1065,2.1071
RB 202112-RB 202201,0.0169,0.0171
RB 202112-RB 202208,-0.0332,-0.0308
RB 202112-RB 202207,-0.0601,-0.058
RB 202111-RB 202208,0.0037,0.0067
RB 202111-RB 202209,0.0364,0.0408
RB 202111-RB 202211,0.2047,0.2105
RB 202112-RB 202210,0.1302,0.1347
RB 202112-RB 202212,0.1968,0.2
RB 202111-RB 202210,0.1671,0.1722
RB 202112-RB 202211,0.1678,0.173
RB 202111-RB 202301,0.2471,0.255
RB 202112-RB 202209,-0.0006,0.0034
RB 202112-RB 202301,0.2101,0.2176
RB 202110-RB 202111,0.05,0.0503
RB 202110-RB 202206,0.0053,0.0087
RB 202112-RB 202205,-0.0949,-0.094
RB 202110-RB 202204,-0.008,-0.0072
RB 202110-RB 202112,0.0871,0.0876
RB 202201-RB 202207,-0.0768,-0.0753
RB 202204-RB 202207,0.0347,0.0369
RB 202205,2.2217,2.2228
RB 202201-RB 202209,-0.017,-0.0141
RB 202203-RB 202209,-0.0147,-0.0118
RB 202111-RB 202205,-0.0576,-0.0568
RB 202206-RB 202312,,0.4487
RB 202206-RB 202306,0.1356,0.1777
RB 202209,2.1242,2.1281
RB 202201-RB 202208,-0.0501,-0.0478
RB 202203-RB 202206,-0.0953,-0.0943
RB 202207,2.1859,2.1878
RB 202202-RB 202208,-0.0541,-0.0517
RB 202204-RB 202208,0.0617,0.0641
RB 202201-RB 202211,0.1508,0.156
RB 202201-RB 202301,0.1932,0.2005
RB 202203-RB 202211,0.1533,0.158
RB 202203-RB 202212,0.181,0.187
RB 202203-RB 202301,0.1955,0.2027
RB 202204-RB 202210,0.2256,0.2294
RB 202204-RB 202211,0.2629,0.2677
RB 202204-RB 202301,0.3051,0.3124
RB 202202-RB 202209,-0.021,-0.018
RB 202201-RB 202210,0.1133,0.1176
RB 202202-RB 202210,0.1095,0.1134
RB 202202-RB 202212,0.1748,0.1807
RB 202202-RB 202301,0.1892,0.1965
RB 202204-RB 202212,0.2907,0.2966
RB 202203-RB 202207,-0.0747,-0.0728
